Code_Run_Date,Bioreactor,Day,Date,FEED_RATE--INPUT_DATA,VOLUME_ML,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD
2024-10-10,AR24-072-014,0,,0.0011257309941520468,199.2,146.51,0.008097165991902834,153.6404,14.024,98.9,0.87,321.0,0.008097165991902834,34.0,7.2,0.509,153.6404,14.024,98.9,0.87,321.0,153.6404,14.024,98.9,0.87,321.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0
2024-10-10,AR24-072-014,1,,0.0009136243703171264,197.6,509.83,0.00657152394234097,428.9807,15.5,97.7,2.73,325.0,0.00657152394234097,34.0,7.2,0.506,428.9807,15.5,97.7,2.73,325.0,480.3230784290846,15.485008933452189,98.14861291637914,1.9899656024957835,309.13661191417975,-51.34237842908462,0.014991066547811016,-0.11215322909478331,0.37001719875210826,11.104371660074172
2024-10-10,AR24-072-014,2,,0.0007835436767039792,197.7,997.91,0.005635878593674976,860.69,20.9,97.5,4.1,328.0,0.005635878593674976,34.0,7.2,0.508,860.69,20.9,97.5,4.1,328.0,918.6981687837778,20.522833829492452,97.48155844714917,3.3622435197828633,318.4730362443513,-109.35054721286232,0.39215723705535765,-0.10754284088207555,0.7388954388606764,17.773246289028258
2024-10-10,AR24-072-014,3,,0.0024813736049669635,197.0,1505.08,0.01784804191384829,1357.4,26.2,95.4,3.88,319.0,0.01784804191384829,34.0,7.2,0.498,1357.4,26.2,95.4,3.8800000000000003,319.0,1528.3238519615356,26.34121087750004,97.54949382541783,4.242505091937372,324.76559862386074,-280.2743991743979,0.25094635955531785,-0.6449162972365308,0.5576428928919904,13.737327252325741
2024-10-10,AR24-072-014,4,,0.0028247878236250007,199.2,2119.61,0.02031815417592408,1739.34,23.9,92.1,3.71,333.0,0.02031815417592408,33.9,7.2,0.502,1739.3400000000001,23.899999999999995,92.1,3.71,333.0,1917.6848600888843,28.029274165409994,94.51085055196734,3.513181962128413,318.5581930610144,-458.6192592632823,-3.8783278058546777,-1.2476289352283665,0.656051911827784,23.846592109615678
2024-10-10,AR24-072-014,5,,0.002485335737819714,200.1,2716.05,0.017876540771530412,2461.245,19.836,92.2,3.34,339.0,0.017876540771530412,34.0,7.2,0.49700000000000005,2461.245,19.836,92.20000000000002,3.34,339.0,2106.0776714871404,21.78779699171515,90.59643901620719,3.5502311207832564,337.3777670103933,-103.45193075042278,-5.83012479756983,-0.846738689280162,0.5509363514361557,24.98215520234036
2024-10-10,AR24-072-014,6,,0.002093937125748504,200.4,3307.9,0.01506128601936986,3176.805,22.527,91.4,2.94,341.0,0.01506128601936986,33.9,7.2,0.501,3176.805,22.526999999999997,91.40000000000002,2.9400000000000004,341.0,3114.5021114414026,17.524786139997254,90.87487443747,3.346056054104086,346.00353071925804,-41.149042191825515,-0.8279109375670828,-0.7154572986476602,0.3479083243841127,21.47968369885973
2024-10-10,AR24-072-014,7,,0.0017773616804920712,200.2,3888.32,0.01183728487539927,3814.845,21.546,91.2,2.65,337.0,0.01278421987966325,34.0,7.2,0.49700000000000005,3814.845,21.546000000000003,91.2,2.65,337.0,3932.5853642907564,22.76964669168808,89.71850569862124,2.668133548234822,348.2825346516094,-158.8894064825821,-2.0515576292551643,-0.3450837233029702,0.3388415502667016,13.581909442733144
2024-10-10,AR24-072-014,8,,0.0017002045549705978,200.0,4309.7,0.011840373285579783,,,,,,0.012229243552236068,34.0,7.2,0.5,4426.405894797974,21.047451590999746,89.57847535646992,2.4289399463447667,342.50853018259573,,,,,,,,,,
2024-10-10,AR24-072-014,9,,0.0017001007736824085,200.0,4805.73,0.011840373285579797,,,,,,0.012228497073439901,34.0,7.2,0.5,5021.732350743952,19.97218334985597,87.78802677625862,2.2033128964123057,347.6719051272458,,,,,,,,,,
2024-10-10,AR24-072-014,10,,0.0017001007736824085,200.0,5302.42,0.01184037328557977,,,,,,0.012228497073439901,34.0,7.2,0.5,5586.86215029417,18.63057600965487,85.85869106541938,1.99640232160694,352.47023868750455,,,,,,,,,,
2024-10-10,AR24-072-014,11,,0.0017001007736824085,200.0,5791.69,0.01184037328557977,,,,,,0.012228497073439901,34.0,7.2,0.5,,,,,,,,,,,,,,,
2024-10-10,AR24-072-014,12,,0.0017001007736824085,200.0,6118.18,0.0,,,,,,0.012228497073439901,34.0,7.2,0.5,,,,,,,,,,,,,,,
